generation,calculated_children,children_created,random_event_child,homosexuals,alive_population,total_population
0,0,0,50241,100000,100000,
77,6561,6561,4,256,287225,390001,
78,7800,7800,8,250,293660,397801,
79,7310,7310,10,248,299432,405111,
80,7557,7557,13,247,305291,412668,
81,7033,7033,9,244,310578,419701,
82,7542,7542,8,236,316321,427243,
83,7459,7459,7,230,321812,434702,
84,8290,8290,7,225,328152,442992,
85,8777,8777,12,224,334823,451769,
86,8204,8204,4,219,340887,459973,
87,7614,7614,6,211,346374,467587,
88,7996,7996,7,203,352084,475583,
89,8762,8762,7,200,358671,484345,
90,8255,8255,10,195,364741,492600,
91,8789,8789,8,191,371152,501389,
92,8246,8246,10,186,377221,509635,
93,8871,8871,4,182,383754,518506,
94,9549,9549,4,177,390946,528055,
95,9361,9361,8,172,397837,537416,
96,9742,9742,6,166,405137,547158,
97,8804,8804,6,159,411417,555962,
98,9695,9695,7,155,418496,565657,
99,11108,11108,4,149,426949,576765,
100,9316,9316,10,142,433522,586081,
101,10150,10150,3,132,440845,596231,
102,10822,10822,4,126,448867,607053,
103,10904,10904,11,124,456866,617957,
104,11678,11678,7,118,465565,629635,
105,10959,10959,3,110,473516,640594,
106,10526,10526,5,101,481092,651120,
107,12520,12520,7,99,490702,663640,
108,11620,11620,3,96,499409,675260,
109,11989,11989,4,92,508419,687249,
110,12401,12401,2,92,517745,699650,
111,11859,11859,1,92,526477,711509,
112,11999,11999,3,88,535317,723508,
113,11931,11931,5,87,543952,735439,
114,12799,12799,6,82,553505,748238,
115,14577,14577,2,80,564714,762815,
116,12783,12783,2,76,574114,775598,
117,13513,13513,2,71,584168,789111,
118,15433,15433,2,69,595963,804544,
119,14055,14055,6,67,606229,818599,
120,13362,13362,2,64,615800,831961,
121,14656,14656,3,64,626631,846617,
122,14636,14636,2,64,637350,861253,
123,14471,14471,4,62,647886,875724,
124,16290,16290,1,59,660157,892014,
125,16366,16366,1,55,672521,908380,
126,16477,16477,1,53,684866,924857,
127,17418,17418,3,53,698055,942275,
128,16016,16016,2,53,709726,958291,
129,17327,17327,0,52,722469,975618,
130,19406,19406,2,51,737249,995024,
131,19220,19220,3,48,751699,1014244,
132,18335,18335,0,44,765096,1032579,
133,18559,18559,2,45,778583,1051138,
134,17479,17479,0,43,790993,1068617,
135,18352,18352,1,42,804188,1086969,
136,20237,20237,2,43,819213,1107206,
137,20734,20734,0,43,834808,1127940,
138,20746,20746,0,41,850317,1148686,
139,21358,21358,0,38,866241,1170044,
140,20988,20988,0,35,881727,1191032,
141,23596,23596,0,33,899733,1214628,
142,24035,24035,1,30,918091,1238663,
143,23622,23622,0,29,936043,1262285,
144,23757,23757,1,28,954016,1286042,
145,21740,21740,0,26,969904,1307782,
146,25186,25186,0,25,988884,1332968,
147,22917,22917,0,24,1005641,1355885,
148,25262,25262,0,22,1024766,1381147,
149,22364,22364,0,21,1040856,1403511,
150,24065,24065,1,20,1058470,1427576,
151,28202,28202,1,20,1079998,1455778,
152,27295,27295,0,18,1100777,1483073,
153,26339,26339,0,18,1120250,1509412,
154,25066,25066,0,18,1138432,1534478,
155,28918,28918,1,18,1160262,1563396,
156,26445,26445,0,17,1179376,1589841,
157,25464,25464,0,16,1197328,1615305,
158,26685,26685,0,16,1216365,1641990,
159,26827,26827,2,16,1235490,1668817,
160,28206,28206,0,16,1255750,1697023,
161,29934,29934,0,14,1277524,1726957,
162,28491,28491,1,14,1297969,1755448,
163,31753,31753,1,14,1321563,1787201,
164,33120,33120,1,13,1346510,1820321,
165,30700,30700,1,12,1369041,1851021,
166,35470,35470,0,12,1395844,1886491,
167,33116,33116,0,9,1420482,1919607,
168,33344,33344,0,9,1444836,1952951,
169,38376,38376,1,8,1474431,1991327,
170,35115,35115,0,7,1500578,2026442,
171,38913,38913,1,7,1530148,2065355,
172,38454,38454,0,6,1559204,2103809,
173,39263,39263,1,6,1588906,2143072,
174,36832,36832,1,6,1616072,2179904,
175,38245,38245,0,5,1644455,2218149,
176,35578,35578,2,5,1670039,2253727,
177,41356,41356,1,5,1700976,2295083,
178,45855,45855,0,5,1736222,2340938,
179,38886,38886,0,5,1764244,2379824,
180,46225,46225,2,5,1799531,2426049,
181,40635,40635,0,5,1828950,2466684,
182,44664,44664,0,5,1862228,2511348,
183,46659,46659,0,5,1897274,2558007,
184,43042,43042,0,5,1928590,2601049,
185,46830,46830,0,5,1963570,2647879,
186,44118,44118,2,5,1995815,2691997,
187,51721,51721,0,5,2035494,2743718,
188,53832,53832,0,5,2077036,2797550,
189,52826,52826,1,4,2117386,2850376,
190,47733,47733,0,4,2152090,2898109,
191,48209,48209,0,4,2187040,2946318,
192,58050,58050,0,4,2231454,3004368,
193,54511,54511,0,4,2272362,3058879,
194,55433,55433,1,4,2314012,3114312,
195,59803,59803,1,4,2359573,3174115,
196,57751,57751,0,4,2403079,3231866,
197,61229,61229,0,4,2449665,3293095,
198,56821,56821,0,4,2491929,3349916,
199,61467,61467,0,4,2538146,3411383,
200,64696,64696,0,4,2587351,3476079,
201,62108,62108,0,4,2633497,3538187,
202,57355,57355,0,4,2674425,3595542,
203,57926,57926,0,3,2715675,3653468,
204,60247,60247,0,3,2758671,3713715,
205,60501,60501,0,3,2801362,3774216,
206,75105,75105,0,2,2858536,3849321,
207,75037,75037,0,2,2915520,3924358,
208,70137,70137,0,2,2967437,3994495,
209,79660,79660,0,2,3028442,4074155,
210,76820,76820,0,2,3086619,4150975,
211,72976,72976,0,2,3140228,4223951,
212,78147,78147,0,2,3198844,4302098,
213,80297,80297,0,1,3258849,4382395,
214,86549,86549,0,1,3324566,4468944,
215,88959,88959,0,1,3391985,4557903,
216,83694,83694,0,1,3453856,4641597,
217,74349,74349,0,1,3505960,4715946,
218,92382,92382,0,1,3575714,4808328,
219,94992,94992,0,1,3647875,4903320,
220,83493,83493,0,1,3708108,4986813,
221,91222,91222,0,1,3775818,5078035,
222,101290,101290,0,1,3853414,5179325,
223,99159,99159,0,1,3928827,5278484,
224,98151,98151,0,1,4002682,5376635,
225,94782,94782,0,1,4072528,5471417,
226,102594,102594,0,1,4150149,5574011,
227,105516,105516,0,1,4229862,5679527,
228,91565,91565,0,1,4295491,5771092,
229,101520,101520,0,1,4371052,5872612,
230,99838,99838,0,1,4444576,5972450,
231,113752,113752,0,0,4531910,6086202,
232,115859,115859,0,0,4620930,6202061,
233,110873,110873,0,0,4705037,6312934,
234,112890,112890,0,0,4790458,6425824,
235,111994,111994,0,0,4875070,6537818,
236,117755,117755,0,0,4964467,6655573,
237,118860,118860,0,0,5053860,6774433,
238,133512,133512,0,0,5157406,6907945,
239,117438,117438,0,0,5244243,7025383,
240,118053,118053,0,0,5330670,7143436,
241,117581,117581,0,0,5415805,7261017,
242,128274,128274,0,0,5511065,7389291,
243,147200,147200,0,0,5624336,7536491,
244,126824,126824,0,0,5716361,7663315,
245,140490,140490,0,0,5821169,7803805,
246,128437,128437,0,0,5913039,7932242,
247,155619,155619,0,0,6031722,8087861,
248,152414,152414,0,0,6146664,8240275,
249,148180,148180,0,0,6257474,8388455,
250,150207,150207,0,0,6369330,8538662,
251,153006,153006,0,0,6483436,8691668,
252,150693,150693,0,0,6594616,8842361,
253,148449,148449,0,0,6702912,8990810,
254,156443,156443,0,0,6817881,9147253,
255,176137,176137,0,0,6952029,9323390,
256,177592,177592,0,0,7086981,9500982,
257,161642,161642,0,0,7205293,9662624,
258,192135,192135,0,0,7353704,9854759,
259,169148,169148,0,0,7478582,10023907,
260,191177,191177,0,0,7624416,10215084,
261,163458,163458,0,0,7741262,10378542,
262,193011,193011,0,0,7886266,10571553,
263,179925,179925,0,0,8017794,10751478,
264,173205,173205,0,0,8141255,10924683,
265,180917,180917,0,0,8271404,11105600,
266,210089,210089,0,0,8429877,11315689,
267,202480,202480,0,0,8579804,11518169,
268,186971,186971,0,0,8713144,11705140,
269,189569,189569,0,0,8847586,11894709,
270,203278,203278,0,0,8994961,12097987,
271,238195,238195,0,0,9176698,12336182,
272,213889,213889,0,0,9332648,12550071,
273,234717,234717,0,0,9507882,12784788,
274,229833,229833,0,0,9677979,13014621,
275,210831,210831,0,0,9828875,13225452,
276,251568,251568,0,0,10020281,13477020,
277,267705,267705,0,0,10228443,13744725,
278,273854,273854,0,0,10441253,14018579,
279,236694,236694,0,0,10615622,14255273,
280,273096,273096,0,0,10824788,14528369,
281,273155,273155,0,0,11032175,14801524,
